SYMBOL,NAME OF COMPANY,TICKER
20MICRONS,20 Microns Limited,INE144J01027
21STCENMGM,21st Century Management Services Limited,INE253B01015
360ONE,360 ONE WAM LIMITED,INE466L01038
3IINFOLTD,3i Infotech Limited,INE748C01038
3MINDIA,3M India Limited,INE470A01017
3PLAND,3P Land Holdings Limited,INE105C01023
5PAISA,5Paisa Capital Limited,INE618L01018
63MOONS,63 moons technologies limited,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012
AAATECH,AAA Technologies Limited,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010
AAKASH,Aakash Exploration Services Limited,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019
AARON,Aaron Industries Limited,INE721Z01010
AARTECH,Aartech Solonics Limited,INE01C001018
AARTIDRUGS,Aarti Drugs Limited,INE767A01016
AARTIIND,Aarti Industries Limited,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,INE09EO01013
AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019
AARVI,Aarvi Encon Limited,INE754X01016
AAVAS,Aavas Financiers Limited,INE216P01012
ABAN,Aban Offshore Limited,INE421A01028
ABB,ABB India Limited,INE117A01022
ABBOTINDIA,Abbott India Limited,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013
ABDL,Allied Blenders and Distillers Limited,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011
ABMINTLLTD,ABM International Limited,INE251C01025
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024
ACC,ACC Limited,INE012A01025
ACCELYA,Accelya Solutions India Limited,INE793A01012
ACCURACY,Accuracy Shipping Limited,INE648Z01023
ACE,Action Construction Equipment Limited,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017
ACI,Archean Chemical Industries Limited,INE128X01021
ACL,Andhra Cements Limited,INE666E01020
ACLGATI,Allcargo Gati Limited,INE152B01027
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010
ADANIENT,Adani Enterprises Limited,INE423A01024
ADANIGREEN,Adani Green Energy Limited,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042
ADANIPOWER,Adani Power Limited,INE814H01011
ADFFOODS,ADF Foods Limited,INE982B01027
ADL,Archidply Decor Limited,INE0CHO01012
ADORWELD,Ador Welding Limited,INE045A01017
ADROITINFO,Adroit Infotech Limited,INE737B01033
ADSL,Allied Digital Services Limited,INE102I01027
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020
AEGISLOG,Aegis Logistics Limited,INE208C01025
AEROFLEX,Aeroflex Industries Limited,INE024001021
AETHER,Aether Industries Limited,INE0BWX01014
AFFLE,Affle (India) Limited,INE00WC01027
AFIL,Akme Fintrade (India) Limited,INE916Y01019
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012
AGI,AGI Greenpac Limited,INE415A01038
AGIIL,Agi Infra Limited,INE976R01017
AGRITECH,Agri-Tech (India) Limited,INE449G01018
AGROPHOS,Agro Phos India Limited,INE740V01019
AGSTRA,AGS Transact Technologies Limited,INE583L01014
AHL,Abans Holdings Limited,INE00ZE01026
AHLADA,Ahlada Engineers Limited,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029
AIAENG,AIA Engineering Limited,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,INE206F01022
AIRAN,Airan Limited,INE645W01026
AIROLAM,Airo Lam limited,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,INE031B01049
AJMERA,Ajmera Realty & Infra India Limited,INE298G01027
AJOONI,Ajooni Biotech Limited,INE820Y01021
AKASH,Akash Infra-Projects Limited,INE737W01013
AKG,Akg Exim Limited,INE00Y801016
AKI,AKI India Limited,INE642Z01026
AKSHAR,Akshar Spintex Limited,INE256Z01025
